kernel,classic_cca,aqm,bdp,i,prague throughput,classic throughput,drops,classic,transition,scalable
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,0.5,9,47403741.327131,47333880.836577184,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,0.5,1,47439019.75088449,47456276.010651454,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,0.5,4,47421496.24214545,47386446.17831192,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,0.5,3,47525921.138737135,47386127.963192984,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,0.5,6,47194847.706585415,47473926.06772347,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,0.5,7,46303116.916517325,48015486.60231,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,0.5,0,47351522.5146362,47508719.91071205,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,0.5,8,46879702.23926765,47840633.39574887,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,0.5,5,46863062.591584854,47840523.3841257,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,0.5,2,47036920.42031389,47648533.79615908,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,1,9,47910578.241713956,46914601.8496083,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,1,1,47893114.9598834,46932190.44289532,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,1,4,47473793.16655096,47316607.491409,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,1,3,47910540.71910918,46967244.23258783,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,1,6,47718892.060804464,47072117.128674984,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,1,7,48155334.6754198,46722355.34513542,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,1,0,47840821.5327407,46949547.549310066,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,1,8,47997986.5242161,46984535.52682637,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,1,5,47788317.603246346,47019512.598214485,,,,
5.15.72-56eae305c-prague-91,bbr2,FQ-CoDel,1,2,47613695.1534978,47281773.574252345,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,8,9,83258259.6382027,11647017.982864266,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,8,1,84035978.95926133,10840519.22096844,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,8,4,65216840.17747484,29823779.227995515,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,8,3,83907245.2884954,10976990.62693777,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,8,6,82836451.3624296,12065542.91661463,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,8,7,84851526.32092093,10034880.598340195,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,8,0,83433538.4432303,11455110.291925803,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,8,8,83507452.84581625,11378673.288685426,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,8,5,84046918.1580159,10837484.72028879,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,8,2,83889908.1860328,10977121.800303467,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,2,9,69967993.0203062,25017296.1728603,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,2,1,69281402.44608948,25714098.75591887,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,2,4,66926340.79232623,28108947.423821677,,,,
5.15.72-56eae305c-prague-91,bbr2,FIFO,2,3,78641578.15941066,16266499.222420005,,,,
